Komponist,Werkname,Satz_Nr,Kommentar,tapping_files,tapping_folder,recording_folder,Dirigent,Orchester,Aufnahmejahr,KWV,Product ID,auf GitHub?,Quelle,Kommentar,Takt von,Takt bis,,"Granularitäten Gl,j der Abschnitte Sl,j"
Ludwig van Beethoven,Symphonie No. 9,1,,"Toscanini_NBCSO_1952_Bee_9-1_A1.txt,Toscanini_NBCSO_1952_Bee_9-1_A4.txt",tappings/Beethoven_sym_9_1,Beethoven_Sym9-1_Toscanini_NBCSO_1952/,Arturo Toscanini,NBCSO,1952,,,x,LL,,,,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 9,1,,,,,Bruno Walter,New York Phiharmonic Orchestra,1947,,,x,TW (CD),,,,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 9,1,,Furtwängler_OBF_1951_Bee_9-1_A1.txt,tappings/Beethoven_sym_9_1,Beethoven_Sym9-1_Furtwängler_OBF_1951/,Wilhelm Furtwängler,OBF,1951,,,x,LL,,,,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 9,1,,Gardiner_ORR_1992_Bee_9-1_A1.txt,tappings/Beethoven_sym_9_1,Beethoven_Sym9-1_Gardiner_ORR_1992/,John Eliot Gardiner,ORR,1992,,,x,PR,,,,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 9,1,,,,,Hermann Scherchen,Philadelphia Orchestra,1964,,,x,TW (CD),,,,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 9,1,,Karajan_PO_1955_Bee_9-1_A1.txt,tappings/Beethoven_sym_9_1,Beethoven_Sym9-1_Karajan_PO_1955_kipid_1223/,Herbert von Karajan,Philharmonia Orchestra,1955,1484,1223,x,KI,,,,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 9,1,,"Klemperer_PO_1957_Bee_9-1_A1.txt,Klemperer_PO_1957_Bee_9-1_A4.txt",tappings/Beethoven_sym_9_1,Beethoven_Sym9-1_Klemperer_PO_1957/,Otto Klemperer,Philharmonia Orchestra,1957,,,x,LL,,,,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 9,1,,Karajan_RAI_1954_Bee_9-1_A1.txt,tappings/Beethoven_sym_9_1,Beethoven_Sym9-1_Karajan_RAI_1954_kipid_2282/,Herbert von Karajan,RAI Orchestra,1954,1482,2282,x,KI,,,,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 9,1,,"Mengelberg_COA_1940_Bee_9-1_A1.txt,Mengelberg_COA_1940_Bee_9-1_A4.txt",tappings/Beethoven_sym_9_1,Beethoven_Sym9-1_Mengelberg_RCO_1940/,Willem Mengelberg,RCO,1940,,,x,LL,,,,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 9,1,,"Norrington_SWRSO_2002_Bee_9-1_A1.txt,Norrington_SWRSO_2002_Bee_9-1_A4.txt",tappings/Beethoven_sym_9_1,Beethoven_Sym9-1_Norrington_SWRSO_2002/,Roger Norrington,SWRSO,2002,,,x,LL,,,,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 9,1,,,,,Georg Solti,Tonhalle-Orchester Zürich,1997,,,x,TW (CD),,,,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 9,1,,"Karajan_WPO_1947_Bee_9-1_A1.txt,Karajan_WPO_1947_Bee_9-1_A3.csv,Karajan_WPO_1947_Bee_9-1_A4.txt",tappings/Beethoven_sym_9_1,Beethoven_Sym9-1_Karajan_WPO_1947_kipid_2403/,Herbert von Karajan,Wiener Philharmoniker,1947,905,2403,x,KI,,,,,Viertelnoten
Ludwig van Beethoven,Symphonie No. 9,0,,,,,Herbert von Karajan,,1962,,,x,,,,,,
Ludwig van Beethoven,Symphonie No. 9,0,,,,,Wilhelm Furtwängler,,1954,,,x,,,,,,
Anton Webern,Symphonie Op. 21,2,,,,,Herbert von Karajan,Berliner Philharmoniker,1974,1448,1059_14,x,KI,,,,,Viertelnoten
Anton Webern,Symphonie Op. 21,2,,,,,Pierre Boulez,Berliner Philharmoniker,1994,,,x,LL,,,,,Viertelnoten
Anton Webern,Symphonie Op. 21,2,,,,,Pierre Boulez,LSO,1969,,,x,LL,,,,,Viertelnoten
Anton Webern,Symphonie Op. 21,2,,,,,Giuseppe Sinopoli,SKD,1996,,,x,LL,,,,,Viertelnoten
Richard Strauss,Till Eulenspiegel op. 28,0,,,,,Fritz Busch,BBC Symphony Orchestra,1934,,,x,,,,,,Ganztaktig***
Richard Strauss,Till Eulenspiegel op. 28,0,,,,,Rudolf Kempe,Berliner Philharmoniker,1958,,,x,,,,,,Ganztaktig***
Richard Strauss,Till Eulenspiegel op. 28,0,,,,,Sergei Koussevitzky,Boston Symphony Orchestra,1945,,,x,,,,,,Ganztaktig***
Richard Strauss,Till Eulenspiegel op. 28,0,,,,,Otto Klemperer,Kölner Rundfunk-Sinfonieorchester,1956,,,x,,,,,,Ganztaktig***
Richard Strauss,Till Eulenspiegel op. 28,0,,,,,Erich Kleiber,NDR Sinfonieorchester,1953,,,x,,,,,,Ganztaktig***
Richard Strauss,Till Eulenspiegel op. 28,0,,,,,Igor Markevitch,Orchestre National de la Radiodiffusion Francaise,1956,,,x,,,,,,Ganztaktig***
Richard Strauss,Till Eulenspiegel op. 28,0,,,,,Herbert von Karajan,Philharmonia Orchestra,1951,,,x,,,,,,Ganztaktig***
Richard Strauss,Till Eulenspiegel op. 28,0,,,,,William Steinberg,Pittsburg Symphony Orchestra,1954,,,x,,,,,,Ganztaktig***
Richard Strauss,Till Eulenspiegel op. 28,0,,,,,Charles Mackerras,Royal Philharmonic Orchestra,1995,,,x,,,,,,Ganztaktig***
Richard Strauss,Till Eulenspiegel op. 28,0,,,,,Richard Strauss,Wiener Philharmoniker,1944,,,x,,,,,,Ganztaktig***
